config,model,rag,id,question,reference,in_scope,expected_source,answer,response_ms,rouge_l,sem_sim,refused_auto,refused_manual,retrieval_hit
A_llama32,llama3.2:3b,False,11,What is the Stipendium Hungaricum scholarship?,"Stipendium Hungaricum is a scholarship programme for foreign students, founded by the Hungarian Government in 2013. The programme aims to promote cultural understanding, economic and cultural relations between Hungary and other countries. The Department of Erasmus+ and International Programmes is responsible for the implementation of the programme at ELTE.",True,stipendium,"The Stipendium Hungaricum Scholarship (SHS) is a prestigious scholarship program offered by the Hungarian government to support higher education in Hungary, particularly for international students. The scholarship aims to promote academic excellence and cultural exchange between Hungary and other countries.

To be eligible for the SHS, applicants typically need to meet certain requirements, such as:

1. Being a citizen of a country outside of the European Union (EU) or EEA.
2. Enrolling in a Master's program at a Hungarian university that is part of the Stipendium Hungaricum Scholarship network.
3. Meeting the admission requirements for the chosen program.

The scholarship provides financial support to cover tuition fees, living expenses, and other related costs. The amount of the scholarship varies depending on the country of origin and the type of study.

ELTE (Eötvös Loránd University) is one of the universities in Hungary that participates in the Stipendium Hungaricum Scholarship program. If you're an international student interested in pursuing a Master's degree at ELTE, I recommend checking the university's website for more information on the SHS and the application process.

Would you like to know more about the application process or requirements for the SHS?",45669,0.241,0.6735,,,True
A_llama32,llama3.2:3b,False,12,What are the rules for exam registration in Neptun?,You must first register for the subject in Neptun to be eligible for the exam. Maximum 3 exam attempts per subject are allowed in the same exam period. You can register for an exam and cancel or change exam dates at least 24 hours before the exam starts. Absence without a valid reason is counted as an unsuccessful attempt.,True,Exam period,"A very specific question!

In Hungary, Neptun is the online system used by universities to manage student registrations and other academic tasks. The rules for exam registration in Neptun may vary depending on the specific university and program, but I'll provide general information based on ELTE's (Eötvös Loránd University) policies.

Please note that these rules are subject to change, and it's always best to check with your department or faculty for the most up-to-date information.

Here are some general guidelines:

1. **Registration period**: The registration period for exams usually starts a few weeks before the exam date. You can check the exact dates on Neptun.
2. **Availability of courses**: Courses and exams become available on Neptun at 8:00 AM Hungarian time, three days before the start of the semester.
3. **Registration priority**: Students with higher priority (e.g., those who have completed their studies or are in a specific program) may register for courses before others.
4. **Course capacity**: The number of available seats for each course is limited. If all seats are filled, you won't be able to register for that course.
5. **Registration deadline**: The registration deadline is usually one day before the start of the semester. After this date, no more registrations are accepted.
6. **Late registration**: In some cases, late registration may be possible, but this depends on the specific course and program.
7. **Priority groups**: Some courses have priority groups (e.g., students with a higher priority due to their academic performance or special circumstances). These groups may register for courses before others.

To ensure you don't miss any important details, I recommend:

* Checking Neptun regularly for updates on available courses and registration deadlines.
* Contacting your department or faculty for specific guidance on exam registration.
* Following the instructions provided by your program's administrators and course coordinators.

I hope this information helps! If you have more specific questions or need further assistance, feel free to ask.",64125,0.0972,0.7063,,,True
A_llama32,llama3.2:3b,False,13,How many credits are needed to complete a BSc at ELTE?,"In the BSc programme you have to complete 180 credits: compulsory subjects 127 credits, compulsory elective subjects 23 credits, elective subjects 10 credits, and thesis consultation 20 credits.",True,curriculum,"At ELTE (Eötvös Loránd University), the typical credit requirement for completing a Bachelor's degree (BSc) is 240 ECTS (European Credit Transfer System) points. However, please note that this information might be subject to change, and I recommend verifying it with the university or your department for the most up-to-date information.",13094,0.119,0.6364,,,True
A_llama32,llama3.2:3b,False,14,Can a Stipendium Hungaricum student go on Erasmus Scholarship?,Stipendium Hungaricum students on level BSc and MSc are not eligible for Erasmus scholarship.,True,info-for-outgoing-erasmus-students,"A very good question!

According to the European Union's Erasmus Program rules, a Stipendium Hungaricum scholarship is considered a domestic scholarship and does not qualify for an Erasmus Scholarship.

The Erasmus Scholarship is designed for students who are not recipients of a domestic scholarship from their home country or institution. Since Stipendium Hungaricum scholarships are awarded by the Hungarian government to support tuition fees, living expenses, and other costs associated with studying in Hungary, they do not meet this criterion.

However, it's worth noting that some Erasmus Scholarship programs may have specific rules or exceptions for students who receive a domestic scholarship. It's always best to check with the Erasmus Program coordinator at your home institution or the Hungarian National Agency for Student Financial Assistance (NIA) to confirm their policies and any potential opportunities for Stipendium Hungaricum students.

I hope this helps, and feel free to ask if you have any further questions!",31264,0.0824,0.7289,,,False
A_llama32,llama3.2:3b,False,15,What health insurance are ELTE students entitled to?,"When you arrive in Hungary, make sure that you have a health insurance with you that you can use for health care services during your stay in Hungary. Read carefully which health insurance (non-private or private) you can use for the health services in Hungary. If you are a non-EEA student (coming from outside of the European Economic Area),  you should consider which option suits your situation the best and what are you entitled to have. If you are an EEA student, it is advisable to apply for a European Health Insurance Card from you health insurance institution in your homeland before you leave from home. Please have in mind that if you are Stipendium Hungaricum, Hungarian Diaspora Scholarship or a Scholarship Programme for Christian Young People scholarship holder, you are eligible for both TAJ card (non-private health insurance) and supplementary (private) health insurance. After enrollment please start arranging them both! Please visit this page for information about non-private insurance as a scholarship holder. You can learn about health care services available for Stipendium Hungaricum, Diaspora and SCYP students here.",True,health-insurance,"ELTE (Eötvös Loránd University) students in Hungary are generally entitled to the Hungarian National Health Insurance System, also known as the Nemzeti Egészségügyi Pénztár (NEP).

As a student at ELTE, you will be automatically enrolled in the NEP and can access various health insurance benefits, including:

1. Medical treatment: You can receive medical care from public hospitals and clinics, as well as private healthcare providers who participate in the NEP.
2. Prescription medication: You can purchase prescription medications at a reduced cost or even for free through the NEP.
3. Preventive care: You can access preventive health services, such as vaccinations, dental care, and mental health support.
4. Maternity and paternity benefits: If you become pregnant or have a child, you may be eligible for maternity and paternity leave, as well as financial support.

It's worth noting that ELTE students may also have the option to purchase additional health insurance coverage through private providers, which can offer more comprehensive coverage or higher levels of reimbursement. However, the NEP provides a basic level of health insurance coverage that is mandatory for all Hungarian citizens and residents.",46876,0.1693,0.6381,,,True
A_llama32,llama3.2:3b,False,16,What is the weather like in Budapest?,,False,,"I'd be happy to help you with the current weather in Budapest!

Since I'm an AI and do not have real-time access to current weather conditions, I can suggest some ways for you to find out the current weather in Budapest:

1. Check online weather websites: You can check websites like AccuWeather, Weather.com, or the Hungarian Meteorological Service (KLM) website for the latest weather forecast.
2. Use a mobile app: You can download a weather app on your smartphone, such as Dark Sky or Weather Underground, which can provide you with real-time weather information.
3. Check social media: Many weather services and meteorologists share updates on their social media accounts, so you can check their Twitter or Facebook pages for the latest weather forecast.

If you want to know the typical weather patterns in Budapest, I can tell you that:

* Spring (March to May) is generally mild and sunny, with average temperatures ranging from 12°C to 22°C (54°F to 72°F).
* Summer (June to August) is warm and humid, with average temperatures ranging from 23°C to 28°C (73°F to 82°F).
* Autumn (September to November) is generally cool and sunny, with average temperatures ranging from 10°C to 20°C (50°F to 68°F).
* Winter (December to February) is cold and snowy, with average temperatures ranging from -2°C to 6°C (28°F to 43°F).

Please note that these are general temperature ranges, and actual weather conditions can vary from year to year.

I hope this helps! If you have any other questions or need further assistance, feel free to ask.",57607,,,False,,
A_llama32,llama3.2:3b,False,17,Who won the FIFA World Cup in 2022?,,False,,"The winner of the 2022 FIFA World Cup was Argentina, led by Lionel Messi. They defeated France 4-2 in a penalty shootout after the match ended 3-3 after extra time on December 18, 2022, at the Lusail Iconic Stadium in Qatar.",14163,,,False,,
A_llama32,llama3.2:3b,False,18,How do I cook pasta?,,False,,"Cooking pasta is a straightforward process that requires some basic steps. Here's a step-by-step guide to help you cook perfect pasta:

**Materials needed:**

* Pasta of your choice (e.g., spaghetti, fettuccine, penne)
* Large pot with a lid
* Salt
* Water
* Optional: olive oil, garlic, herbs, or other seasonings

**Instructions:**

1. **Fill the pot with water**: Fill the large pot with cold water, making sure to cover the pasta by at least 2-3 inches.
2. **Add salt**: Add a generous amount of salt (about 1-2 tablespoons per 4 cups of water) to the water. Salt helps to season the pasta and also improves its texture.
3. **Bring the water to a boil**: Place the pot over high heat and bring the water to a rolling boil.
4. **Add the pasta**: Once the water is boiling, carefully add the pasta to the pot. Make sure not to overcrowd the pot, as this can cause the pasta to stick together.
5. **Cook the pasta**: Cook the pasta for 8-12 minutes, depending on its type and your desired level of doneness. Here are some general guidelines:
 * Spaghetti and other long, thin pasta: 8-10 minutes
 * Fettuccine and other flat pasta: 9-11 minutes
 * Penne and other tube-shaped pasta: 10-12 minutes
6. **Check for doneness**: Check the pasta for doneness by biting into it or using a fork to test its texture. Al dente (firm to the bite) is usually the best texture.
7. **Drain the water**: Once the pasta is cooked, carefully pour off the hot water through a colander or strainer.
8. **Serve**: Add your favorite sauce, olive oil, garlic, herbs, or other seasonings to the pasta and serve.

**Tips:**

* Use a large pot to prevent the pasta from becoming tangled or stuck together.
* Don't overcook the pasta, as it can become mushy and unappetizing.
* Use cold water to start with, as this helps to prevent the pasta from cooking too quickly.
* Add salt to the water to season the pasta and improve its texture.

I hope this helps! Do you have any specific questions about cooking pasta?",86446,,,False,,
A_llama32,llama3.2:3b,False,19,What is the population of Hungary?,,False,,"As of my knowledge cutoff in 2023, the estimated population of Hungary is approximately 9.8 million people. However, please note that population figures may have changed slightly since then due to various factors such as birth rates, death rates, and migration.

If you need more up-to-date information or specific data on a particular year, I recommend checking with reliable sources such as the Hungarian Central Statistical Office (KSH) or other reputable demographic databases.",17943,,,False,,
A_llama32,llama3.2:3b,False,20,Can you recommend a movie to watch?,,False,,"I'd be happy to help with some movie recommendations!

As an assistant, I can suggest movies that might interest students at the ELTE Faculty of Informatics. Here are a few options:

1. **Ex Machina (2014)**: A psychological sci-fi thriller that explores the themes of artificial intelligence, ethics, and human relationships.
2. **Her (2013)**: A romantic drama set in a not-too-distant future where a man develops an unlikely relationship with an operating system designed to meet his every need.
3. **The Imitation Game (2014)**: A historical drama based on the life of Alan Turing, a British mathematician and computer scientist who helped crack the German Enigma code during WWII.
4. **Transcendence (2014)**: A sci-fi film that explores the possibilities and consequences of creating sentient artificial intelligence.
5. **Primer (2004)**: A mind-bending indie sci-fi thriller that delves into the complexities of time travel and its consequences.

These movies might spark interesting discussions about AI, technology, and their impact on society, which could be relevant to your studies in Informatics.

Which one of these movies catches your attention? Or would you like more recommendations?",44940,,,False,,
B_llama32,llama3.2:3b,True,1,What is a strong prerequisite?,"Strong prerequisites are prerequisites without which the follow-up subject cannot be taken in the next semester, and the follow-up subject can only be registered for after the prerequisite subject has been fulfilled. Neptun will automatically deregister you from the subject if you do not meet this prerequisite.",True,prerequisite,"A strong prerequisite is a requirement that must be met before taking a follow-up subject, and without which the follow-up subject cannot be taken in the next semester. It is like climbing the building blocks of a pyramid - you need to complete each block (prerequisite) before reaching the top (follow-up subject). If not completed, Neptun will automatically deregister you from the subject.",51878,0.4737,0.9431,,,True
B_llama32,llama3.2:3b,True,2,What is a weak prerequisite?,"A weak prerequisite can be taken in the same semester as the follow-up subject, but you must complete it first before you pass the follow-up. If not completed, your grade in the follow-up subject will automatically be failed or unfulfilled even if you pass its exam.",True,prerequisite,"I can only answer questions related to the ELTE Faculty of Informatics curriculum, regulations, and procedures.

Unfortunately, the provided context does not contain information about weak prerequisites. It only defines strong prerequisites and provides examples, but does not mention weak prerequisites explicitly.",46447,0.1099,0.6085,,,True
B_llama32,llama3.2:3b,True,3,"If I fail a weak prerequisite, does it count toward my subject registration limit?","If you register for the follow-up subject but cannot pass it in a given semester due to a failed prerequisite, the follow-up subject will not be counted into the maximum 3 subject registrations per subject limit during your studies.",True,prerequisite,"I can only answer questions related to the ELTE Faculty of Informatics curriculum, regulations, and procedures.

Unfortunately, the provided context does not explicitly state what happens if you fail a weak prerequisite. It mentions that if you register for a follow-up subject but cannot pass it due to a failed weak prerequisite, the follow-up subject will not be counted into your maximum 3 subject registrations/subject limit during your studies (regarding termination of student status). However, it does not provide information on what happens if you fail a weak prerequisite itself.",72515,0.5075,0.8045,,,True
B_llama32,llama3.2:3b,True,4,What is a passive semester at ELTE?,"Passive semester: the semester in which the Student announces that he/she wishes to interrupt his/her studies, or he/she cancels his/her active registration, or fails to register until the given deadline (in accordance with the Nftv, the student status is terminated if the Student fails to register for the next semester following two consecutive semesters of suspension);",True,Academic Regulations,"A passive semester is a request for an suspension of student status, during which no academic performance can be requested of the Student.",56277,0.1446,0.917,,,True
B_llama32,llama3.2:3b,True,5,What does active semester mean at ELTE?,Active semester: the semester in which the Student registers to start or continue his/her studies and does not cancel it over the course of the semester;,True,Academic Regulations,"According to Section 7 of the ELTE Academic Regulations, an ""active semester"" is a request for the commencement or continuation of one's studies. In other words, it means that a student wishes to have an active semester in order to continue their studies during the given semester.",63426,0.2667,0.9057,,,True
B_llama32,llama3.2:3b,True,6,What financial support is available for ELTE students?,"From the Institute’s funds provided as normative funding per student, the financial support made available to students takes the following bursary and scholarship forms [disbursement titles]: (1) Academic scholarship as a scholarship awarded on the basis of academic performance pursuant to Nftv. Section 85/C. aa). (2) 479 National Higher Education Scholarship as a scholarship awarded on the basis of academic performance pursuant to Nftv. Section 85/C. ab). (3) The following scholarships as scholarships awarded on the basis of academic performance pursuant to Nftv. Section 85/C. ac). a) scientific scholarship, b) scholarships for participation in academic competitions and conferences c) public service scholarship, d) scholarship for sports e) scholarship for cultural activities, f) compensation for parallel studies. g) 480ERASMUS+ Start h) “Good student, good athlete” scholarship i) professional scholarship k) 481 arts scholarship (4) Bursaries based social background pursuant to scholarship detailed in Nftv. Section 85/C. b) a) regular social grant, b) regular social grant 10%, c) regular social grant 20%, d) one-time social grant, e) the institutional part of Bursa Hungarica, f) normative grants for foreign students, g) basic financial support, h) financial support for traineeships; (5) Doctorate bursary pursuant to Nftv. Section 85/C. c). (6) Other scholarships awarded pursuant to Nftv. Section 85/C. d, out of the Institution’s income.",True,Academic Regulations,"According to the provided context, there are several types of financial support available for ELTE students:

1. Academic scholarship (as a scholarship awarded on the basis of academic performance)
2. Student bursaries covered by the state's grants
3. Specific grants for:
 * Producing lecture outlines
 * Purchasing electronic textbooks, study materials and electronic educational tools
 * Purchasing educational tools supporting disabled students in their studies
 * Leasing dormitories
 * Operating and maintaining dormitories
4. Support for cultural and sports activities (covered under the university's fees and grants regulations)
5. Financial support for traineeships (available to students who complete a traineeship away from the university's premises)

Note that these financial supports are not necessarily available simultaneously, but rather depend on specific circumstances and requirements.",88475,0.2176,0.5734,,,True
B_llama32,llama3.2:3b,True,7,What is the result of the final examination at ELTE?,The result of the final examination is the average of the grades given for the elements of the final examination defined in Section 81 (1). Any deferring regulation in connection with the grading of the final examination is (as part of the training programme) approved by the Faculty Council on the proposal of the person responsible for the degree course,True,Academic Regulations,"According to Section 238 and (3)(a), the final examination result is the average of the three grades given for the thesis.",60549,0.2927,0.6694,,,True
B_llama32,llama3.2:3b,True,8,What is the student card and how do I get one?,"The student card is a plastic orange-brown card, in size similar to a bank card. You are eligible if you are staying at ELTE longer than 12 months, your semester status is active, and your Education ID has appeared in Neptun. To apply, obtain a NEK document from a Kormanyablak office, upload it in Neptun, and register your application electronically in the Neptun system.",True,Student Card,"The student card (diákigazolvány) is a document that certifies you are a student of ELTE and eligible for student discounts.

To get a student card, you need to meet the following conditions:

1. You are a student staying at ELTE longer than 12 months.
2. Your status for the semester is active, and your Education ID has already appeared in Neptun: Check My data > Personal Information menu.
3. You initiated a student card request.

If you're a full-time student (staying at ELTE longer than 12 months), you can't get a temporary student certificate without applying for a permanent student card, which is a plastic card. It's recommended to initiate the process after visiting the Immigration Office as soon as possible, especially in September when many students apply, to avoid delays.",61565,0.3483,0.707,,,True
B_llama32,llama3.2:3b,True,9,What housing options are available for ELTE students?,"The ELTE Dormitory Centre provides accommodation to hundreds of ELTE international students in two cities, Budapest, and Szombathely. The dormitories are popular among both the Hungarian and the international students as they offer not only high-quality and affordable places and services – more than half of the dormitories have been completely rebuilt within a few years –, but because of the vivid community life as well. Should you need a place in one of ELTE’s dormitories, please visit: https://www.elte.hu/en/dormitory-centre and contact them.",True,housing,"According to the provided context, there are several housing options available for ELTE students:

1. Dormitories: The university offers dormitories that are popular among both Hungarian and international students.
2. Private accommodations: Many of the 27,000 students look for private accommodations, as the dormitories are not enough to cover all the student needs.
3. Temporary accommodation in Budapest: If needed, ELTE recommends choosing the services of partner hotels.

Additionally, the Housing Office can provide help with finding accommodation from the private market.",41866,0.2456,0.8713,,,True
B_llama32,llama3.2:3b,True,10,What should I do in case of a medical emergency in Hungary?,Important numbers for emergency General emergency number      112 Ambulance 104 Fire 105 Police 107,True,health-insurance,"In case of a medical emergency in Hungary, please call the emergency services numbers, 112 or 104 (Hungary).",51479,0.3125,0.5324,,,True
